,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/vanuatu_van4_20170724_1_01_1980_2040,60.579162042244114,0.3818963437747682,0.5209246905113232,0.3390757356822092,1.0,0.7870613321439054
test/vanuatu_van4_20170724_1_02_5580_5640,34.79137525040838,0.0,0.25500131538311943,0.8003595341290816,0.0,0.684207913008218
test/vanuatu_van4_20170724_1_03_9180_9240,55.14891553053236,0.398090948534121,0.5848445213282144,0.7223017116963328,0.21160923385747746,0.8405993611104724
test/vanuatu_van4_20170724_1_04_12780_12840,81.36806288297015,0.2852314092563703,1.0,0.8570221820865925,1.0,0.9261495528055448
test/vanuatu_van4_20170725_1_01_1980_2040,64.95122899327646,0.0,1.0,0.8433407969074392,0.5271908184060938,0.8770298343502898
test/vanuatu_van4_20170725_1_02_5580_5640,65.03437471291197,1.0,0.0,0.6973744542572916,1.0,0.5543442813883068
test/vanuatu_van4_20170725_1_03_9180_9240,35.82821531386039,0.5255376715589175,0.0,0.36384885439763487,0.0,0.9020242397364671
test/vanuatu_van4_20170725_1_04_12780_12840,70.3794199086165,0.0,1.0,0.6847405880137198,1.0,0.8342304074171051
test/vanuatu_van4_20170725_1_05_16380_16440,81.87534239992974,0.6193520947047569,0.8015370308634387,0.8550674011375338,1.0,0.8178105932907576
test/vanuatu_van4_20170725_1_06_19980_20040,59.54455350482196,0.0,1.0,0.3963442391418531,1.0,0.5808834360992451
test/vanuatu_van4_20170726_1_01_1980_2040,48.715566421526475,0.4797248323032111,0.0,0.7243081761006306,0.6340818271022058,0.5976634855702763
test/vanuatu_van4_20170726_1_02_5580_5640,40.64662682749588,0.0,0.6635921970948736,0.7022703699435289,0.0,0.6664687743363916
test/vanuatu_van4_20170726_1_03_9180_9240,76.95982541633961,0.6725455614344503,0.8690155683015336,0.45730720269059716,1.0,0.8491229383903997
test/tsimane_C04_20170707_12840,53.90202099429799,0.3137605253165955,0.0,0.6695495641035994,1.0,0.7117909602947046
test/tsimane_C04_20170707_16440,31.338621353889316,0.11305389221556884,0.0,0.39216239228170297,0.3027585156887983,0.7589562675083958
test/tsimane_C04_20170707_20040,7.760574255304213,0.0,0.0,0.0,0.0,0.38802871276521067
test/tsimane_C04_20170707_2040,55.90189010567207,0.16457388437343592,0.0,0.7692404858023161,1.0,0.8612801351078516
test/tsimane_C04_20170707_27240,60.82522634719481,0.5331429867942065,0.0,0.6133606941038989,1.0,0.8947576364616349
test/tsimane_C04_20170707_30840,56.13594567560378,0.0,0.6723321926001449,0.5096651238769403,1.0,0.6247999673031037
test/tsimane_C04_20170707_34440,58.07928540915256,0.1551650884371161,0.4689761652031262,0.4340137887118697,1.0,0.8458092281055158
test/tsimane_C04_20170707_38040,46.22171957797161,1.0,0.6076742148862941,0.0,0.0,0.7034117640122867
test/tsimane_C04_20170707_41640,79.82090243981955,1.0,1.0,0.465101421498163,1.0,0.525943700492814
test/tsimane_C04_20170707_45240,93.02473277709397,1.0,1.0,1.0,0.7730252689198637,0.8782113699348352
test/tsimane_C04_20170707_56040,60.0,1.0,1.0,0.0,1.0,0.0
test/tsimane_C04_20170707_5640,37.40814594948202,0.0,1.0,0.45471328795765,0.0,0.415694009516451
test/tsimane_C04_20170707_9240,62.21196265130725,0.7324857701829138,0.0,0.5809894758797692,1.0,0.7971228865026795
test/tsimane_C04_C05_M03_20170707_12840,53.90202099429799,0.3137605253165955,0.0,0.6695495641035994,1.0,0.7117909602947046
test/tsimane_C04_C05_M03_20170707_16440,31.338621353889316,0.11305389221556884,0.0,0.39216239228170297,0.3027585156887983,0.7589562675083958
test/tsimane_C04_C05_M03_20170707_20040,7.760574255304213,0.0,0.0,0.0,0.0,0.38802871276521067
